REGION,PROV_CODE,PROV_NAME,DIST_CODE,DIST_NAME,INC_DATE,INC_TYPE,Persons_killed,Persons_injured,Families_affected,Individuals_affected2,Houses_damaged,Houses_destroyed
#adm1 +name +en,#adm2 +code,#adm2 +name +en,#adm3 +code,#adm3 +name +en,#cause +date,#cause +type,#affected +killed +num,#affected +injured +num,#affected +families +num,#affected +individuals +num,#damaged+houses+num,#destroyed+houses+num
South Eastern,11,Ghazni,1101,Ghazni,15/02/2020,Flood / flash flood,0,0,190,1330,0,0
Southern,32,Hilmand,3203,Nad-e-Ali,15/02/2020,Flood / flash flood,0,0,0,0,0,0
Western,30,Hirat,3015,Shindand,15/02/2020,Flood / flash flood,0,0,15,105,0,15
Eastern,14,Nuristan,1401,Poruns,17/02/2020,Heavy snowfall,0,0,57,399,57,0
Eastern,14,Nuristan,1405,Wama,17/02/2020,Heavy snowfall,0,0,63,441,63,0
Central Highland,10,Bamyan,1001,Bamyan,20/02/2020,Heavy snowfall,0,0,1000,7000,0,0
Eastern,6,Nangarhar,602,Behsud,20/02/2020,Flood / flash flood,0,0,1,18,1,0
Eastern,13,Kunar,1305,Marawara,21/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1301,Asadabad,21/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1307,Dara-e-Pech,21/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,21/02/2020,Flood / flash flood,0,0,0,0,0,0
Central Highland,22,Daykundi,2209,Miramor,25/02/2020,Avalanche,0,0,16,112,0,0
Central Highland,22,Daykundi,2209,Miramor,25/02/2020,Avalanche,0,0,49,343,0,0
Central Highland,22,Daykundi,2209,Miramor,25/02/2020,Heavy snowfall,0,0,165,1155,0,0
Eastern,6,Nangarhar,617,Achin,29/02/2020,Flood / flash flood,0,0,21,161,21,0
Eastern,6,Nangarhar,602,Behsud,29/02/2020,Flood / flash flood,0,0,9,88,9,0
Eastern,6,Nangarhar,602,Behsud,29/02/2020,Flood / flash flood,0,0,9,95,9,0
Eastern,6,Nangarhar,618,Shinwar,29/02/2020,Flood / flash flood,0,0,40,310,40,0
Eastern,6,Nangarhar,604,Khogyani,29/02/2020,Flood / flash flood,0,0,14,98,14,0
Eastern,6,Nangarhar,603,Surkhrod,29/02/2020,Flood / flash flood,0,0,12,98,12,0
Eastern,6,Nangarhar,611,Sherzad,29/02/2020,Flood / flash flood,0,0,13,100,13,0
Eastern,6,Nangarhar,602,Behsud,29/02/2020,Flood / flash flood,0,0,1,6,1,0
Eastern,6,Nangarhar,605,Chaparhar,29/02/2020,Flood / flash flood,0,0,3,23,2,1
Eastern,6,Nangarhar,605,Chaparhar,29/02/2020,Flood / flash flood,2,0,2,20,0,2
Eastern,6,Nangarhar,607,Kama,29/02/2020,Flood / flash flood,2,1,3,20,3,0
Eastern,6,Nangarhar,605,Chaparhar,29/02/2020,Flood / flash flood,0,0,4,26,4,0
Eastern,6,Nangarhar,605,Chaparhar,29/02/2020,Flood / flash flood,0,0,3,18,3,0
Eastern,6,Nangarhar,612,Pachieragam,29/02/2020,Flood / flash flood,0,10,3,23,1,2
Eastern,6,Nangarhar,605,Chaparhar,29/02/2020,Flood / flash flood,0,0,2,13,2,0
Eastern,6,Nangarhar,605,Chaparhar,29/02/2020,Flood / flash flood,0,0,2,14,0,2
Eastern,6,Nangarhar,607,Kama,29/02/2020,Flood / flash flood,0,0,4,19,2,2
Eastern,6,Nangarhar,601,Jalalabad,29/02/2020,Flood / flash flood,0,0,21,173,21,0
Eastern,6,Nangarhar,621,Nazyan,29/02/2020,Flood / flash flood,0,0,6,35,6,0
Eastern,6,Nangarhar,620,Lalpur,29/02/2020,Flood / flash flood,0,0,6,37,6,0
Eastern,6,Nangarhar,619,Muhmand Dara,29/02/2020,Flood / flash flood,0,0,18,135,18,0
Eastern,6,Nangarhar,609,Dara-e-Nur,29/02/2020,Flood / flash flood,0,0,1,5,1,0
Eastern,6,Nangarhar,608,Kuzkunar,29/02/2020,Flood / flash flood,0,0,1,3,1,0
Eastern,6,Nangarhar,606,Rodat,29/02/2020,Flood / flash flood,0,0,1,3,1,0
Eastern,6,Nangarhar,609,Dara-e-Nur,29/02/2020,Flood / flash flood,0,0,2,11,2,0
Eastern,13,Kunar,1307,Dara-e-Pech,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,7,Laghman,701,Mehtarlam,29/02/2020,Flood / flash flood,0,0,10,96,10,0
Eastern,7,Laghman,701,Mehtarlam,29/02/2020,Flood / flash flood,0,0,16,69,16,0
Eastern,13,Kunar,1304,Sarkani,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1309,Khaskunar,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1306,Shigal Wa Sheltan,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,7,Laghman,705,Dawlatshah,29/02/2020,Flood / flash flood,0,0,3,21,3,0
Eastern,13,Kunar,1305,Marawara,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,6,Nangarhar,613,Dehbala,29/02/2020,Flood / flash flood,0,0,19,153,19,0
Eastern,7,Laghman,704,Alingar,29/02/2020,Flood / flash flood,1,0,21,103,21,0
Eastern,7,Laghman,702,Alishang,29/02/2020,Flood / flash flood,0,0,23,135,23,0
Eastern,7,Laghman,702,Alishang,29/02/2020,Flood / flash flood,0,0,20,114,20,0
Eastern,13,Kunar,1308,Chawkay,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,7,Laghman,701,Mehtarlam,29/02/2020,Flood / flash flood,1,11,8,61,6,2
Eastern,7,Laghman,701,Mehtarlam,29/02/2020,Flood / flash flood,0,0,12,76,12,0
Eastern,7,Laghman,701,Mehtarlam,29/02/2020,Flood / flash flood,0,0,8,64,8,0
Eastern,7,Laghman,701,Mehtarlam,29/02/2020,Flood / flash flood,0,0,9,59,9,0
Eastern,7,Laghman,701,Mehtarlam,29/02/2020,Flood / flash flood,0,0,10,77,10,0
Eastern,13,Kunar,1312,Ghaziabad,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1301,Asadabad,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1314,Nurgal,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1303,Narang,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1302,Watapur,29/02/2020,Flood / flash flood,0,0,0,0,0,0
Eastern,13,Kunar,1313,Chapadara,29/02/2020,Flood / flash flood,0,0,0,0,0,0
